sentences	audioFilename
पत्रकारान संवेदनशील आसपाक जाय अशें आमच्या मुख्यमंत्र्यांक दिसता. एका अणभवी मनशाच्या, प्रशासकाच्या आनी राजकारण्याच्या तोंडांतल्यान आयिल्ल्या ह्या उतरांचो आदर करपाकच जाय. संवसाराचे मडवळ जावपाचो पत्कर पत्रकारांनी घेतला म्हणटकच तांच्याच खोमसाक काळो दाग आसत जाल्यार तो दाखोवपीय आसपाक जाय. पत्रकारांच्या हातांत लिखणी आसता. वेळ पडल्यार वडाची साल पिंपळाक लायत तें भौशीक फातरीचेर कोणाचींय अंतर्वस्त्रां धुतात. तेच जर चुकले तर तांचे कान कोणें पिळपाचे? तितली मेकळीक राजकारण्यां सयत भौसाच्या सगळ्याच घटकांक दिवपाक जाय. ते मेकळिकेक पत्रकारांनीय गांभिर्यान घेवपाक जाय. आपल्या उलोवपांत पत्रकारांनी आक्रमक भाशेंत बरोवचें न्हय कारण सौम्य शब्दांतली भुमिकाय तितलीच प्रभावी आसता अशेंय मुख्यमंत्री सांगतात. शाण्याक उतरांचो मार अशी जाण्टेल्यांची म्हणणी आसा. एका काळार आमचे राजकारणी आनी प्रशासक त्या मारान काळे निळे जावपा इतले संवेदनशीलय आशिल्ले. आयज ती संवेदनशीलताय तांचे कडेन उरल्या काय कितें हो प्रस्न सभावीकपणान हांगा उपस्थीत जाता.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0021_T1-0021.wav
पत्रकारितेंतले लागणुकेक जागुंया !	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0237_T1-0237.wav
संगीत मळावेले म्हालागडे - 1 -पं विष्णू नारायण भातखंडे	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0451_T1-0451.wav
मदर्स डे	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0450_T1-0450.wav
फकत अमेरिका आनी तिच्या इश्ट देशांचेच न्हय तर पुराय संवसाराचे सुरक्षीतायेचो प्रस्न आसा अशें सांगत राष्ट्राध्यक्ष ओबामान काल अफगाणिस्तानांत 30,000 नवे सैनीक धाडपाचो निर्णय जाहीर केलो. ताची शिफारस नाटो देशांनी मानून घेतली जाल्यार- आनी ते मानून घेतलेच- तांचेय 40,000 चडावत सैनीक फुडल्या कांय म्हयन्यांनी अफगाणिस्तनांत पावतले. अमेरिकेक जर ह्या झुजांत जैत जाय तर आनीक 40,000 सैनिक धाडचे असो आग्रो अमेरिकन दळांचे कमांडर जनरल स्टॅनली मॅकक्रिस्टलान धरल्यार 4 म्हयने जातले. कारणा बगर परदेशी भुंयेर अमेरिकी रगत सांडचें ना अशें उतर मतदारांक दीत ओबामा राष्ट्राध्यक्ष जाल्ले. ते फाटभुंयेर जनरल मॅकक्रिस्टलाची मागणी मान्य जावपाची शक्यताय उणी दिसताली. चार म्हयन्याचो काळ निर्णय घेवपाक लायिल्ल्यान दुबाव दाट जावपाक लागिल्लो. पूण ह्याच काळांत तालिबान्यांनी नागरी वाठारांनी आकांतवादी करण्यो करीत पाकिस्तानाक ओलीस धरपाचो यत्न केलो. ताका लागून अमेरिका आनी ओबामा मुखा वयले पर्याय सामकेच मर्यादीत जाल्ले. एके परीन तालिबान्यांनी आनी अल कायदान संकश्टक आपोवणेंच दिलां. नवी फौज धाडटना अमेरिकेक थोडो न्हय तर 30 अब्ज डॉलरांचो फटको बसतलो. तितलोच खर्च नाटो देशांक करचो पडटलो.     	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0226_T1-0226.wav
न्हंयां कडेनचें दुर्लक्ष म्हारग पडटलें	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0255_T1-0255.wav
पवाराचो पलटवार	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0258_T1-0258.wav
संगकाराचो फिल्डिंगेक दोश	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0061_T1-0061.wav
आमचे नालायके पासत म्हारगायेचो राकेस तोंड आं करुन उबो रावला	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0223_T1-0223.wav
पत्रकारितेंतल्या अडचणींचेर प्राधान्यान भासाभास जाय	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0253_T1-0253.wav
दर्यादेगांचेर माफियांचो शेक ?	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0198_T1-0198.wav
माधुरी गुप्ता आनी उत्क्रांतीवाद	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0260_T1-0260.wav
तंदुरूस्ती वाडोवपाचें साधन वेट ट्रेनिंग	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0240_T1-0240.wav
महापालिकेक जालां कितें ?	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0029_T1-0029.wav
भारतांत ‘मार्ग-संस्कृति’ अशी खंयच दिसून येना. म्हणून सगळ्यांत आदी आमी ती आचरणांत हाडुंया. जी आपुलकी, जो मोग आमी आपल्या घराक दितात तसोच मोग आमच्या मार्गाक दिवया. गोंय हें ‘सकारात्मक मार्ग संस्कृताये’ खातीर एक आदर्श राज्य करूं या. गोंयचे मुक्तीक आतां पन्नास वर्सा जायत आयल्यां, पन्नास वर्सा मदीं आमी भारता कडल्यान खूब कितें घेयत आयल्यात. आतां भारताक किते तरी दिवपाचो वेळ आयला. म्हज्या कोतान भारताक दिवपा सारकी सगळ्यांत खरी आनी फावोशी भेट म्हणल्यार ‘मार्ग-संस्कृती’.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0084_T1-0084.wav
शेणत चलिल्लें पोरणें सांबाळुंया!	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0238_T1-0238.wav
त्या विधेयकाक न्याय दियात	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0404_T1-0404.wav
गोंयांत आतां आनीक एक जन आंदोलन जावचें पडटलें	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0178_T1-0178.wav
कोंकणींत जाण्टे – नेण्टे हें द्वैत नाका	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0272_T1-0272.wav
हिंदू जनजागृती समिती हिंदूंच्या नांवान उलयता म्हणटकूच तो हिंदूंचो आवाज अशी गैरसमजणी जावं येता. खरेपणीं, विशाल हिंदू समाजांतलीं हीं थोडींच वाट चुकिल्लीं गोरवां. तीं आपणाल्या गैर करण्यांनी हिंदूंचें नांव इबाडटात. हिंदू मनीस हो असहिष्णु, कर्मठ, धर्मकोल्ली, संस्कृताय आनी सभ्यताय हांचे नदरेन मागाशिल्लो असो कोणाचोय समज जावंचो अश्यो तांच्यो करण्यो आसतात. पाकिस्तानांतले आकांतवादी भारतांत पर्थून हिंसक करण्यो करपाचे तयारेक लागल्यांत अशी शिटकावणी प्रधानमंत्री डॉ. मनमोहन सिंह हांणी निकतीच दिल्या. ते आकांतवादी येतात तेन्ना येवं; पूण कांय आकांतवादी गोयांत धुमशेणां कांडूंक लागल्यात आनी सरकारी यंत्रणेंत मोव मेळटा थंय खणूंक लागल्यात हाची दखल गोंय सरकारान आनी गोंयच्या लोकान घेवपाची गरज उप्रासल्या. पाकिस्तानांतल्यान येतात ते परदेशी आकांतवादी; गोंयांतले हे देशी आकांतवादी. ते हिंसा करपाचे तयारेन येतात; हे भिरांत पातळावपाचें काम करतात. ते आकांतवादी जिहादी आसतात; हे हिंदू म्हणपाचें विशेशण आपणाक लायतात; पूण हे खरेच हिंदू काय कितें हे विशीं दुबाव येता. जी सहिष्णुता हिंदू धर्माचें एक म्हत्वाचें लक्षण जावन आसा ती वखदाक पसून ह्या गांवठी आकांतवाद्यांचे ठांय नासता. ‘      ’ आनी ‘             ’ ह्या दोनूय उतरांचे अर्थ शब्दकोशांत सोदले जाल्यार फकत हिंसा करता तोच आकांतवादी अशें थारना. जो हेर मार्गानी भिरांत पातळायता तोवूय आकांतवादी थारता. घरमंत्री पी. चिदंबरम हांच्या सांगण्या प्रमाण देशा मुखार सुरक्षे संबंदान तीन आव्हानां उबीं आसात: 1. जिहादी आकांतवाद 2. पुर्वोत्तर वाठारांतली सशस्त्र पिडापीड, आनी 3. नक्षलवाद वा दाव्यांचो आकांतवाद. गोंयांतल्या आकांतवादाचो संबंद देशाचे सुरक्षे कडेन ना. देखून चिदंबरम हांकां ताचो हुस्को आसपाचें कारण ना. पूण ह्या देशी आकांतवादाचो संबंद लोकशाये कडेन आसा, संविधानान दिल्ल्या मूलभूत हक्कां कडेन आसा, मत स्वातंत्र्या कडेन आसा, गोंयांतले स्वातंत्र्यताकाये कडेन आसा. देखून गोंय सरकार आनी गोंयचो लोक हांणी लोकहिता खातीर ह्या आकांतवादाचो बंदोबस्त करपाची गरज आसा. भिरांत पातळावपाचो, भेश्टावन हेरांक नमोवपाचो, मस्ती करून विचार-स्वातंत्र्याक आडखळ हाडपाचो हो देशी आकांतवाद हिंदू जनजागृती समिती ह्या नांवाची संघटना चलयता. ही संघटना संघ परिवारा पसून आपूण वेगळी अशें भासयता;  पूण त्या परिवारा पसून ती पयस ना. कांय कर्मा ती बजरंग दल हे संघ परिवारांतले संघटनेक सांगताक घेवन करीत आयल्या. फाटीं कर्नाटकांत श्रीराम सेनेन मस्ती आनी हिंसा केली तेन्ना हे हिंदू जनजागृती समितीन तिका तेको दिल्लो हे घडणके वयल्यान हे समितीची जातकुळी कळपाक वेळ लागना. समस्त हिंदू समाजान आपले वतीन उलोवपाचो अधिकार दिला असो आव हाडून ही समिती उलयता. पूण तिका कसलेंच प्रतिनिधीक रूप ना. जे तरेन ती उलयता आनी वागता ती तरा तपासून पळयली जाल्यार चडांत चड ती हिंदू मदल्या कर्मठ, असहिष्णु, लोकशायविरोधी, धर्मकोल्ली आनी सांस्कृतीक नदरेन मागाशिल्ल्या घटकाचे वतीन उलयता आनी वागता अशें म्हणूंक जायत. म्हजे नदरेंन, ही संघटना हिंन्दूंचें नांव इबाडटा. हांवूय धर्मान हिंदू. ही संघटना तिच्या धोरणा वरवी आनी चलणुके वरवी म्हाका एक हिंदू ह्या नात्यान लजेक घालता. ह्या गांवठी आकांतवाद्यांची चलणूक म्हणचे झुंडशाय. हे झुंडशायेक लोकशायेची नसाय. मत-स्वातंत्र्य, विचार-स्वातंत्र्य हांचे विशीं तिडक, संविधानान ह्या देशाच्या नागरिकांक दिल्ल्या मूलभूत अधिकारां विशीं राग. तांकां जाय तें हेर सगल्यांनी उलोवचें! तांकां मानवता तें हेर सगल्यांनी करचें. तालिबान आनी हे गांवठी आकांतवादी हांचे मदीं अंतर भोव थोंडें! ते मुसलमानां मदले कर्मठ, फॅसिस्ट, धर्मकोल्ली आनी सभ्यतायेचे नदरेन मागाशिल्ले तर हे हिंदूं मदले कर्मठ, फॅसिस्ट, धर्मकोल्ली आनी सभ्यतायेचे नदरेन फाटीं उरिल्ले. ही खंय जनजागृती समिती! कसली जागृताय करता?! हिंदूं समाजाक जातवादाचें गिराण लागलां. हो जातवाद ना करुया आनी ल्हवूल्हवू जात-वेवस्था ना करुया अशी जागृताय ही समिती करिना. तिका जात-वेवस्था सासणाची उरिल्ली जाय. हिंदू समाजांत कर्मठपण आसा, अंधश्रद्धा आसा. ती अंधश्रद्धा लोकांचें लुकसाण करता, तांकां फाटीं दवरता. पूण तें कर्मठपण आनी ती अंधश्रद्धा ना करपाचे गरजे विशीं समिती जागृताय करिना. कर्मठपण आनी अंधश्रद्धा ह्यो ते समितीच्यो कुबड्यो. जें जें वायट तें तें परंपरेच्या नांवान सांबाळून दवरपाची तिका वान्सा. समितींत बोवाळपी मनशां कुंभकर्णी न्हिदेंत घोरेत पडल्यांत; ते आनी कोणाक जागे करूंक पावतले? फाटीं डॉं. नरेंद्र दाभोळकर आयिल्ले. तांच्या व्याख्यानांत हांणी विघ्नां हाडलीं. तांकां लोकशाय नाका, विचार-स्वातंत्र्य नाका म्हणून? काय ते विचार आयकून लोक जागृत जातले ह्या भंयान? दाभोळकरांक आपणालीं मतां, आपणाले विचार उक्तावपाचें स्वातंत्र्य न्हय तर मूलभूत अधिकार आसा. तांकां आडखळ करप हें कर्म लोकशायेचे आड आनी संविधान-विरोधी. तांचे विचार आनी तांचीं मतां समितिवाल्यांक मानवतात काय ना हाका कसलेंच म्हत्व ना. समितिवाल्यांक मानवता तेंच उलयतले ते गुलाम आनी पांजऱ्यांतले कीर. समितीवाले कांडटात, तीं धुमशेणां सगल्यांक आवडटात? जांका तीं आवडनात तांणी समितिवाल्यांचेर फातर मारचे? समितिवाल्यांचे ते करणेन तांचे फॅसिस्ट प्रवृत्तीचें हळशिकावणें प्रदर्शन मांडलें. गोवा म्युझियमांत एम एफ हुसेन हांणी चितारिल्लें चित्र लावचें न्हय असो हांचो हट्ट. त्या चित्रा विशीं कसलोच आक्षेप ना. आक्षेप चित्रकाराक! कित्याक तर ताचो धर्म इस्लाम! हें समितिवाल्यांचें धर्मकोल्ल. हांच्यो भावना खंय दुखावतात! तुमच्यो भावना समजून घेवनूच चित्रकारांनी चित्रां काडचीं? तुमच्यो भावना समजून घेवनूच साहित्यकारांनी साहित्य रचचें? तुमच्या भावनांचो भोवमान करपाकूच कलाकारांनी आपणाले कलेचें प्रदर्शन करचें? तुमी केन्ना लोकांच्यो भावना विचारूंक गेल्यांत? दाभोळकरांच्या व्याख्यांत आडखळ हाडटना तुमी सभ्य लोकांच्यो भावना समजून घेतिल्ल्यो. हुसेनाच्या चित्राक विरोध करतना तुमी चित्रकारांच्यो भावना जाणां जावन घेतिल्ल्यो? सुबोध केरकार हांच्या प्रदर्शनाक विरोध करतना तुमी समाजीक वावुरप्यांच्या भावनांचो विचार केल्लो? आनी तुमी अशे कोण व्हडले म्हूण तुमच्या कर्मठ, असभ्य, अंधश्रद्धेत घुस्पल्ल्या, मागाशिल्ल्या आनी कालबाह्य जाल्ल्या भावनांची दखल घेवची? तुमी लोकशायेक कलंक. तुमी संविधानान दिल्ल्या स्वातंत्र्यांक आनी मूलभूत अधिकारांक कलंक. तुमी विज्ञाननिश्ठ विचारांक आनी चलणुकेक कलंक. तुमी आधुनीक युगांतल्या प्रागतीक विचारांक कलंक. तुमच्या भावनांतल्या त्या कलंकाचो भोवमान कोणेंय कित्याक करचो? ताका कोणेय म्हत्व कित्याक दिवचें? हिंदू जनजागृती समिती हिंदूंच्या नांवान उलयता म्हणटकूच तो हिंदूंचो आवाज अशी गैरसमजणी जावं येता. खरेपणीं, विशाल हिंदू समाजांतर्ली हीं थोडींच वाट चुकिल्लीं गोरवां. तीं आपणाल्या गैर करण्यांनी हिंदूंचें नांव इबाडटात. हिंदू मनीस हो असहिष्णु, कर्मठ, धर्मकोल्ली, संस्कृताय आनी सभ्यताय हांचे नदरेन मागाशिल्लो असो कोणाचोय समज जावंचो अश्यो तांच्यो करण्यो आसतात. हिंदू मनशाक लोकशाय, संविधान हांचे विशीं नसाय करपा इतलो तो फॅसिस्ट अशें चित्र ते उबें करतात. हिंदू समाजांत जें जें वायट आनी अनिश्ठ आसा त्या सगल्याचो अर्क हे समितिच्या अविचारांत आसा. सभ्य मनशां दुसऱ्यांक, विरोधकांक वा भिन्न मत उक्तायतल्यांक धमक्यो दिनात. भेश्टायता, धमक्यो दिता ती फॅसिस्ट प्रवृत्ती. खरेपणीं, समितिवाले हेच भिवकुरे. तांकां कर्मठपण ना जायत म्हूण भिरांत दिसता. अंधश्रद्धा ना जायत हाची भिरांत दिसता. मनीस विज्ञाननिश्ठ जावन चिकित्सेची नदर बाळगीत हाचें भंय दिसता. असहिष्णुता वाडली जाल्यार धर्मकोल्ल तिगचें ना अशें भंय दिसता. हे भिरांतींतल्यान ते मस्ती बहाद्दूर आनी धमकी बहाद्दूर जातात. गोंयचें बरें जावचें, गोंयांत एकवट आनी स्वस्तकाय उरची अशें ज्या ज्या गोंयकारांक दिसता त्या त्या गोंयकारान ह्या गांवठी आकांतवादाचें खरें रूप वळखून ताचो बंदोबस्त करूंक जाय. ह्या विशयांत गोंय सरकाराचें विशेश कर्तव्य आसा. कांय वेळा सरकारी यंत्रणा तांच्या धमक्यां संबंदान दुबळेंपण दाखयता अशें दिसता. दुबळेंपण दाखयलें जाल्यार ह्या आकांतवादाक जेल मेळटलें हें सरकारी यंत्रणेन समजून घेवंक जाय. हिंदू जनजागृती समिती वा हेर खंयतीय आकांतवादी संघटना खंयच्याय एका चित्राक आक्षेप घेता तेन्ना सरकारी यंत्रणा नमता अशें दिसलें जाल्यार सगल्याच चित्रांक उजो घालतले अशी धमकी दिवपी आनीक एक संघटना फुडें सरतली. मागीर सरकारी यंत्रणा कितें करतली? गांवठी आकांतवादाचें तुश्टीकरण निखालस नाका. ताका इल्लोय वाव दिवंक उपकरना. तो रोग हें लक्षांत धरपाक जाय आनी रोग वाडूंक दिनासतना तो ना करपांत शाणेंपण आसता हें सरकारी यंत्रणेक कळूंक जाय. सरकाराच्या कायद्यांची अंमलबजावणी करपी खात्यांनी ह्या गांवठी आकांतवादा विशीं अदीक शिटूक आनी अदीक क्रियाशील रावपाची गरज उप्रासल्या. तांणी संविधानान दिल्ल्या मूलभूत हक्कांची, विचार- स्वातंत्र्याची आनी लोकशायेतल्या अधिकारांची राखण करतना कोणाचीच दया माया करपाची गरज ना. त्या हक्कांक आनी त्या स्वातंत्र्याक आडखळ करतात, मस्ती करतात वा धमक्यो दितात ते गुन्यांवकार. तांकां गुन्यांव पचूंक दिवपाक फावना. गुन्यांवकारांचेर कायद्या प्रमाण कारवाय जावंकूच जाय. ते लागणुकेक सरकारी यंत्रणेन चुकूंक फावना. चुकलें जाल्यार लोक कायदो हातांत घेवपाक फुडें सरतले आनी थंय कायद्याचें राज्य कोसळूंक लागतलें.  	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0483_T1-0483.wav
भुरग्यांची अविचारीपणां	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0320_T1-0320.wav
राजेंद्र केरकार हांणी सत्तरीचो वस्तुनिश्ठ इतिहास बरोवचो	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0282_T1-0282.wav
तीन बिरेस्तार?	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Contemporary Text-T1_SP-0270_T1-0270.wav
